RHEA_ID	DIRECTION	MASTER_ID	ID
28700	LR	28699	R-HSA-8959798.1
28705	RL	28703	R-HSA-437300.2
28748	LR	28747	R-HSA-444416.1
28784	LR	28783	R-HSA-1247910.2
28808	LR	28807	R-HSA-8943279.1
28901	RL	28899	R-HSA-375405.1
28901	RL	28899	R-HSA-375417.1
28945	RL	28943	R-HSA-6797957.1
28964	LR	28963	R-HSA-375405.1
28964	LR	28963	R-HSA-375417.1
28969	RL	28967	R-HSA-352052.2
28969	RL	28967	R-HSA-352059.1
28969	RL	28967	R-HSA-352108.1
28988	LR	28987	R-HSA-428585.1
28993	RL	28991	R-HSA-4085020.1
29252	LR	29251	R-HSA-2889070.1
29257	RL	29255	R-HSA-8949703.1
29265	RL	29263	R-HSA-352059.1
29265	RL	29263	R-HSA-352108.1
29265	RL	29263	R-HSA-375473.1
29269	RL	29267	R-HSA-352059.1
29269	RL	29267	R-HSA-375473.1
29277	RL	29275	R-HSA-352059.1
29277	RL	29275	R-HSA-375473.1
29285	RL	29283	R-HSA-352059.1
29285	RL	29283	R-HSA-352108.1
29285	RL	29283	R-HSA-352119.1
29285	RL	29283	R-HSA-375473.1
29320	LR	29319	R-HSA-1483107.1
29352	LR	29351	R-HSA-435366.1
29352	LR	29351	R-HSA-437129.1
29352	LR	29351	R-HSA-437139.1
29352	LR	29351	R-HSA-442393.1
29353	RL	29351	R-HSA-435375.1
29353	RL	29351	R-HSA-437084.1
29353	RL	29351	R-HSA-437085.1
29353	RL	29351	R-HSA-437136.1
29353	RL	29351	R-HSA-442317.1
29353	RL	29351	R-HSA-442345.1
29353	RL	29351	R-HSA-442387.1
29353	RL	29351	R-HSA-442405.1
29353	RL	29351	R-HSA-442422.1
29364	LR	29363	R-HSA-109380.4
29364	LR	29363	R-HSA-109449.3
29372	LR	29371	R-HSA-109387.4
29376	LR	29375	R-HSA-109415.3
29380	LR	29379	R-HSA-109387.4
29380	LR	29379	R-HSA-109470.3
29380	LR	29379	R-HSA-74248.3
29400	LR	29399	R-HSA-2509827.3
29416	LR	29415	R-HSA-373875.2
29417	RL	29415	R-HSA-373867.2
29417	RL	29415	R-HSA-433698.2
29420	LR	29419	R-HSA-425983.1
29420	LR	29419	R-HSA-426015.1
29421	RL	29419	R-HSA-2872444.1
29421	RL	29419	R-HSA-425965.1
29421	RL	29419	R-HSA-425994.1
29445	RL	29443	R-HSA-375417.1
29449	RL	29447	R-HSA-8953430.1
29457	RL	29455	R-HSA-376200.1
